ColumnHeader1,Correlation Coefficient,ColumnHeader2
year,0.4908293549216408,price
year,-0.7386039489105573,mileage
year,0.1924720276388599,tax
year,-0.13279082748443521,mpg
year,-0.03857631371943382,engineSize
year,0.27153454293918095,tax(£)
price,0.4908293549216408,year
price,-0.4179544499523173,mileage
price,0.30971505024439544,tax
price,-0.29642946855476804,mpg
price,0.6381137805708872,engineSize
price,0.32102815637051596,tax(£)
mileage,-0.7386039489105573,year
mileage,-0.4179544499523173,price
mileage,-0.22136147965250574,tax
mileage,0.18565704175829348,mpg
mileage,0.10907272194309865,engineSize
mileage,-0.20590988705066096,tax(£)
tax,0.1924720276388599,year
tax,0.30971505024439544,price
tax,-0.22136147965250574,mileage
tax,-0.4516556485224859,mpg
tax,0.28176789985862416,engineSize
tax,,tax(£)
mpg,-0.13279082748443521,year
mpg,-0.29642946855476804,price
mpg,0.18565704175829348,mileage
mpg,-0.4516556485224859,tax
mpg,-0.24820969820317057,engineSize
mpg,-0.45199103911273664,tax(£)
engineSize,-0.03857631371943382,year
engineSize,0.6381137805708872,price
engineSize,0.10907272194309865,mileage
engineSize,0.28176789985862416,tax
engineSize,-0.24820969820317057,mpg
engineSize,0.22492666261583388,tax(£)
tax(£),0.27153454293918095,year
tax(£),0.32102815637051596,price
tax(£),-0.20590988705066096,mileage
tax(£),,tax
tax(£),-0.45199103911273664,mpg
tax(£),0.22492666261583388,engineSize
