,Model,Timeline,Timeline,Successor
,Model,Introduced,Discontinued,Successor
0,20M,1969,1973,
1,Aslan,2014,2017,
2,Atos/Santro,1997,2014,i10 Eon
3,Celesta RV,2018,2019,
4,Getz/Click,2002,2011,i20
5,Cortina,1970,1975,
6,Dynasty,1996,2005,Aslan
7,Entourage,2007,2009,
8,Eon,2011,2019,Santro
9,Equus/Centennial,1999,2016,Genesis G90
10,Excel/Presto,1985,2000,Accent
11,Genesis,2007,2016,Genesis G80
12,Genesis Coupe,2008,2016,
13,Granada,1978,1985,Grandeur
14,Galloper,1991,2004,Terracan
15,Grace/H100/Satellite,1987,1996,Starex
16,i40,2011,2019,Sonata
17,Ioniq,2016,2022,Elantra Hybrid
18,ix20,2010,2019,
19,ix35 (NU),2017,2023,Mufasa
20,Lavita/Matrix,2001,2010,ix20
21,Libero/H-1,2000,2007,Porter
22,Marcia,1995,1998,Sonata
23,Maxcruz/Santa Fe XL,2013,2019,Palisade
24,Pony,1975,1990,Excel Elantra
25,Reina/Verna,2017,2021,
26,Santamo,1996,2003,
27,Santro (AH2),2018,2022,
28,Scoupe,1988,1995,Tiburon
29,Starex,1997,2021,Staria
30,Stellar,1983,1992,Sonata Elantra
31,Terracan,2001,2011,Veracruz
32,Tiburon/Coupe/Tuscani,1996,2008,Veloster
33,Trajet,1999,2008,
34,Veloster,2011,2022,
35,Veracruz/ix55,2006,2012,Maxcruz
36,Xcent,2014,2023,Aura
37,Celesta,2017,2023,
38,Lafesta,2018,2023,
39,Mistra,2013,2023,
